0,0,*
4,AA,*
8,EU,*
12,AF,*
16,OC,*
20,EU,*
24,AF,*
28,AN,*
31,AA,*
32,AS,*
36,OC,*
40,EU,*
44,AN,*
48,AA,*
50,AA,*
51,AA,*
52,AN,*
56,EU,*
60,AN,*
64,AA,*
68,AS,*
70,EU,*
72,AF,*
76,AS,*
84,AN,*
86,AN,*
92,AN,*
96,AA,*
100,EU,*
104,AA,*
108,AF,*
112,EU,*
116,AA,*
120,AF,*
124,AN,*
132,AF,*
136,AN,*
140,AF,*
144,AA,*
148,AF,*
152,AS,*
156,AA,*
158,AA,*
170,AS,*
178,AF,*
180,AF,*
188,AN,*
191,EU,*
192,AN,*
196,AA,*
203,EU,*
204,AF,*
208,EU,*
212,AN,*
214,AN,*
218,AS,*
222,AN,*
226,AF,*
231,AF,*
232,AF,*
233,EU,*
242,OC,*
246,EU,*
248,EU,*
250,EU,*
254,AS,*
258,OC,*
262,AF,*
266,AF,*
268,AA,*
270,AF,*
275,AA,*
276,EU,*
288,AF,*
296,OC,*
300,EU,*
308,AN,*
312,AN,*
320,AN,*
324,AF,*
328,AS,*
332,AN,*
339,AP,*
340,AN,*
344,AA,*
348,EU,*
352,EU,*
356,AA,*
360,AA,*
364,AA,*
368,AA,*
372,EU,*
376,AA,*
380,EU,*
384,AF,*
388,AN,*
392,AA,*
398,AA,*
400,AA,*
404,AF,*
408,AA,*
410,AA,*
414,AA,*
418,AA,*
422,AA,*
426,AF,*
430,AF,*
434,AF,*
440,EU,*
442,EU,*
446,AA,*
450,AF,*
454,AF,*
458,AA,*
466,AF,*
470,EU,*
474,AN,*
480,AF,*
484,AN,*
499,EU,*
500,AN,*
504,AF,*
508,AF,*
512,AA,*
516,AF,*
520,OC,*
524,AA,*
528,EU,*
531,AN,*
533,AN,*
534,AN,*
535,AN,*
540,OC,*
554,OC,*
558,AN,*
566,AF,*
574,OC,*
578,EU,*
586,AA,*
591,AN,*
598,OC,*
600,AS,*
604,AS,*
608,AA,*
616,EU,*
620,EU,*
624,AF,*
626,AA,*
630,AN,*
634,AA,*
638,AF,*
642,EU,*
643,AA,*
646,AF,*
654,AF,*
660,AN,*
662,AN,*
663,AN,*
670,AN,*
674,EU,*
678,AF,*
682,AA,*
686,AF,*
688,EU,*
694,AF,*
702,AA,*
703,EU,*
704,AA,*
705,EU,*
706,AF,*
710,AF,*
716,AF,*
724,EU,*
728,AF,*
729,AF,*
732,AF,*
740,AS,*
744,EU,*
752,EU,*
756,EU,*
760,AA,*
762,AA,*
764,AA,*
768,AF,*
780,AN,*
784,AA,*
788,AF,*
792,AA,*
795,AA,*
800,AF,*
804,EU,*
807,EU,*
818,AF,*
826,EU,*
832,EU,*
834,AF,*
840,AN,*
850,AN,*
854,AF,*
858,AS,*
860,AA,*
862,AS,*
887,AA,*
894,AF,*
999,OT,*
