0,0,0,0,*
1910,1910-1933,1910-1933,1910-1956,*
1911,1910-1933,1910-1933,1910-1956,*
1912,1910-1933,1910-1933,1910-1956,*
1913,1910-1933,1910-1933,1910-1956,*
1914,1910-1933,1910-1933,1910-1956,*
1915,1910-1933,1910-1933,1910-1956,*
1916,1910-1933,1910-1933,1910-1956,*
1917,1910-1933,1910-1933,1910-1956,*
1918,1910-1933,1910-1933,1910-1956,*
1919,1910-1933,1910-1933,1910-1956,*
1920,1910-1933,1910-1933,1910-1956,*
1921,1910-1933,1910-1933,1910-1956,*
1922,1910-1933,1910-1933,1910-1956,*
1923,1910-1933,1910-1933,1910-1956,*
1924,1910-1933,1910-1933,1910-1956,*
1925,1910-1933,1910-1933,1910-1956,*
1926,1910-1933,1910-1933,1910-1956,*
1927,1910-1933,1910-1933,1910-1956,*
1928,1910-1933,1910-1933,1910-1956,*
1929,1910-1933,1910-1933,1910-1956,*
1930,1910-1933,1910-1933,1910-1956,*
1931,1910-1933,1910-1933,1910-1956,*
1932,1910-1933,1910-1933,1910-1956,*
1933,1910-1933,1910-1933,1910-1956,*
1934,1934-1956,1934-1956,1910-1956,*
1935,1934-1956,1934-1956,1910-1956,*
1936,1934-1956,1934-1956,1910-1956,*
1937,1934-1956,1934-1956,1910-1956,*
1938,1934-1956,1934-1956,1910-1956,*
1939,1934-1956,1934-1956,1910-1956,*
1940,1934-1956,1934-1956,1910-1956,*
1941,1934-1956,1934-1956,1910-1956,*
1942,1934-1956,1934-1956,1910-1956,*
1943,1934-1956,1934-1956,1910-1956,*
1944,1934-1956,1934-1956,1910-1956,*
1945,1934-1956,1934-1956,1910-1956,*
1946,1934-1956,1934-1956,1910-1956,*
1947,1934-1956,1934-1956,1910-1956,*
1948,1934-1956,1934-1956,1910-1956,*
1949,1934-1956,1934-1956,1910-1956,*
1950,1934-1956,1934-1956,1910-1956,*
1951,1934-1956,1934-1956,1910-1956,*
1952,1934-1956,1934-1956,1910-1956,*
1953,1934-1956,1934-1956,1910-1956,*
1954,1934-1956,1934-1956,1910-1956,*
1955,1934-1956,1934-1956,1910-1956,*
1956,1934-1956,1934-1956,1910-1956,*
1957,1957-1961,1957-1971,1957-1986,*
1958,1957-1961,1957-1971,1957-1986,*
1959,1957-1961,1957-1971,1957-1986,*
1960,1957-1961,1957-1971,1957-1986,*
1961,1957-1961,1957-1971,1957-1986,*
1962,1962-1966,1957-1971,1957-1986,*
1963,1962-1966,1957-1971,1957-1986,*
1964,1962-1966,1957-1971,1957-1986,*
1965,1962-1966,1957-1971,1957-1986,*
1966,1962-1966,1957-1971,1957-1986,*
1967,1967-1971,1957-1971,1957-1986,*
1968,1967-1971,1957-1971,1957-1986,*
1969,1967-1971,1957-1971,1957-1986,*
1970,1967-1971,1957-1971,1957-1986,*
1971,1967-1971,1957-1971,1957-1986,*
1972,1972-1976,1972-1986,1957-1986,*
1973,1972-1976,1972-1986,1957-1986,*
1974,1972-1976,1972-1986,1957-1986,*
1975,1972-1976,1972-1986,1957-1986,*
1976,1972-1976,1972-1986,1957-1986,*
1977,1977-1981,1972-1986,1957-1986,*
1978,1977-1981,1972-1986,1957-1986,*
1979,1977-1981,1972-1986,1957-1986,*
1980,1977-1981,1972-1986,1957-1986,*
1981,1977-1981,1972-1986,1957-1986,*
1982,1982-1986,1972-1986,1957-1986,*
1983,1982-1986,1972-1986,1957-1986,*
1984,1982-1986,1972-1986,1957-1986,*
1985,1982-1986,1972-1986,1957-1986,*
1986,1982-1986,1972-1986,1957-1986,*
1987,1987-1991,1987-2001,1987-2016,*
1988,1987-1991,1987-2001,1987-2016,*
1989,1987-1991,1987-2001,1987-2016,*
1990,1987-1991,1987-2001,1987-2016,*
1991,1987-1991,1987-2001,1987-2016,*
1992,1992-1996,1987-2001,1987-2016,*
1993,1992-1996,1987-2001,1987-2016,*
1994,1992-1996,1987-2001,1987-2016,*
1995,1992-1996,1987-2001,1987-2016,*
1996,1992-1996,1987-2001,1987-2016,*
1997,1997-2001,1987-2001,1987-2016,*
1998,1997-2001,1987-2001,1987-2016,*
1999,1997-2001,1987-2001,1987-2016,*
2000,1997-2001,1987-2001,1987-2016,*
2001,1997-2001,1987-2001,1987-2016,*
2002,2002-2006,2002-2016,1987-2016,*
2003,2002-2006,2002-2016,1987-2016,*
2004,2002-2006,2002-2016,1987-2016,*
2005,2002-2006,2002-2016,1987-2016,*
2006,2002-2006,2002-2016,1987-2016,*
2007,2007-2011,2002-2016,1987-2016,*
2008,2007-2011,2002-2016,1987-2016,*
2009,2007-2011,2002-2016,1987-2016,*
2010,2007-2011,2002-2016,1987-2016,*
2011,2007-2011,2002-2016,1987-2016,*
2012,2012-2016,2002-2016,1987-2016,*
2013,2012-2016,2002-2016,1987-2016,*
2014,2012-2016,2002-2016,1987-2016,*
2015,2012-2016,2002-2016,1987-2016,*
2016,2012-2016,2002-2016,1987-2016,*
