-1,0,0,*******
0,0,0,*******
1100015,11*****,1******,*******
1100023,11*****,1******,*******
1100031,11*****,1******,*******
1100049,11*****,1******,*******
1100056,11*****,1******,*******
1100064,11*****,1******,*******
1100072,11*****,1******,*******
1100080,11*****,1******,*******
1100098,11*****,1******,*******
1100106,11*****,1******,*******
1100114,11*****,1******,*******
1100122,11*****,1******,*******
1100130,11*****,1******,*******
1100148,11*****,1******,*******
1100155,11*****,1******,*******
1100189,11*****,1******,*******
1100205,11*****,1******,*******
1100254,11*****,1******,*******
1100262,11*****,1******,*******
1100288,11*****,1******,*******
1100296,11*****,1******,*******
1100304,11*****,1******,*******
1100320,11*****,1******,*******
1100338,11*****,1******,*******
1100346,11*****,1******,*******
1100379,11*****,1******,*******
1100403,11*****,1******,*******
1100452,11*****,1******,*******
1100502,11*****,1******,*******
1100601,11*****,1******,*******
1100700,11*****,1******,*******
1100809,11*****,1******,*******
1100908,11*****,1******,*******
1100924,11*****,1******,*******
1100940,11*****,1******,*******
1101005,11*****,1******,*******
1101104,11*****,1******,*******
1101203,11*****,1******,*******
1101302,11*****,1******,*******
1101401,11*****,1******,*******
1101435,11*****,1******,*******
1101450,11*****,1******,*******
1101468,11*****,1******,*******
1101476,11*****,1******,*******
1101484,11*****,1******,*******
1101492,11*****,1******,*******
1101500,11*****,1******,*******
1101559,11*****,1******,*******
1101609,11*****,1******,*******
1101708,11*****,1******,*******
1101757,11*****,1******,*******
1101807,11*****,1******,*******
1200013,12*****,1******,*******
1200054,12*****,1******,*******
1200104,12*****,1******,*******
1200138,12*****,1******,*******
1200179,12*****,1******,*******
1200203,12*****,1******,*******
1200252,12*****,1******,*******
1200302,12*****,1******,*******
1200328,12*****,1******,*******
1200336,12*****,1******,*******
1200344,12*****,1******,*******
1200351,12*****,1******,*******
1200385,12*****,1******,*******
1200393,12*****,1******,*******
1200401,12*****,1******,*******
1200427,12*****,1******,*******
1200435,12*****,1******,*******
1200450,12*****,1******,*******
1200500,12*****,1******,*******
1200609,12*****,1******,*******
1200708,12*****,1******,*******
1200807,12*****,1******,*******
1300029,13*****,1******,*******
1300060,13*****,1******,*******
1300086,13*****,1******,*******
1300102,13*****,1******,*******
1300144,13*****,1******,*******
1300201,13*****,1******,*******
1300300,13*****,1******,*******
1300409,13*****,1******,*******
1300508,13*****,1******,*******
1300607,13*****,1******,*******
1300631,13*****,1******,*******
1300680,13*****,1******,*******
1300706,13*****,1******,*******
1300805,13*****,1******,*******
1300839,13*****,1******,*******
1300904,13*****,1******,*******
1301001,13*****,1******,*******
1301100,13*****,1******,*******
1301159,13*****,1******,*******
1301209,13*****,1******,*******
1301308,13*****,1******,*******
1301407,13*****,1******,*******
1301506,13*****,1******,*******
1301605,13*****,1******,*******
1301654,13*****,1******,*******
1301704,13*****,1******,*******
1301803,13*****,1******,*******
1301852,13*****,1******,*******
1301902,13*****,1******,*******
1301951,13*****,1******,*******
1302009,13*****,1******,*******
1302108,13*****,1******,*******
1302207,13*****,1******,*******
1302306,13*****,1******,*******
1302405,13*****,1******,*******
1302504,13*****,1******,*******
1302553,13*****,1******,*******
1302603,13*****,1******,*******
